Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Data Ultima Carga: 24/03/2025
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Indicador: Gestantes com o primeiro atendimento de pré-natal.
Nível: Municipio.


Competência;Uf;Ibge;Municipio;Total Gestantes;
202411;RS;430490;CASCA;6;
202406;RS;431513;POUSO NOVO;1;
202411;RS;432285;VESPASIANO CORREA;2;
202409;RS;430512;CERRITO;3;
202409;RS;432320;VICTOR GRAEFF;1;
202408;RS;430320;CACIQUE DOBLE;3;
202405;RS;431213;MATO CASTELHANO;1;
202405;RS;431244;MORRINHOS DO SUL;2;
202405;RS;431413;PAULO BENTO;4;
202405;RS;430170;BARÃO DE COTEGIPE;5;
202403;RS;430783;EUGÊNIO DE CASTRO;3;
202407;RS;430786;FAGUNDES VARELA;2;
202407;RS;431446;PINHAL DA SERRA;1;
202409;RS;431275;NOVA ALVORADA;2;
202409;RS;430107;ARROIO DO PADRE;1;
202408;RS;430620;CRUZEIRO DO SUL;1;
202408;RS;431575;RIOZINHO;2;
202410;RS;430005;ÁGUA SANTA;2;
202409;RS;431647;SALVADOR DAS MISSÕES;1;
202407;RS;430800;FAXINAL DO SOTURNO;3;
202409;RS;431260;MUÇUM;1;
202411;RS;432032;SENADOR SALGADO FILHO;2;
202404;RS;431861;SÃO JOSÉ DO SUL;1;
202404;RS;430107;ARROIO DO PADRE;2;
202402;RS;431030;ILÓPOLIS;1;
202405;RS;430645;DOIS LAJEADOS;1;
202412;RS;431642;SAGRADA FAMÍLIA;4;
202405;RS;430063;AMARAL FERRADOR;4;
202405;RS;431245;MORRO REDONDO;3;
202407;RS;431333;NOVA RAMADA;1;
202407;RS;430320;CACIQUE DOBLE;2;
202402;RS;431937;SÃO PEDRO DO BUTIÁ;3;
202412;RS;432149;TOROPI;2;
202412;RS;431595;ROLADOR;4;
202412;RS;430693;ENTRE-IJUÍS;4;
202412;RS;430020;AJURICABA;3;
202412;RS;430185;BARRA DO GUARITA;4;
202410;RS;431220;MAXIMILIANO DE ALMEIDA;3;
202408;RS;431333;NOVA RAMADA;1;
202408;RS;431447;PINHAL GRANDE;2;
202411;RS;430587;CORONEL BARROS;3;
202411;RS;431620;RONDINHA;2;
202404;RS;432252;VALE VERDE;2;
202404;RS;430637;DILERMANDO DE AGUIAR;2;
202404;RS;430540;CHIAPETTA;1;
202404;RS;432370;VISTA GAÚCHA;2;
202406;RS;431973;SÃO VALÉRIO DO SUL;1;
202404;RS;431053;ITAARA;2;
202404;RS;431420;PEDRO OSÓRIO;1;
202404;RS;430965;HULHA NEGRA;4;
202401;RS;431795;SANTO EXPEDITO DO SUL;1;
202401;RS;430885;GENTIL;3;
202403;RS;430805;FAXINALZINHO;3;
202403;RS;430670;DONA FRANCISCA;2;
202403;RS;431070;ITATIBA DO SUL;1;
202412;RS;430560;COLORADO;1;
202412;RS;430367;CAMPESTRE DA SERRA;1;
202412;RS;431040;INDEPENDÊNCIA;3;
202410;RS;431407;PASSO DO SOBRADO;1;
202403;RS;431610;RONDA ALTA;2;
202403;RS;430912;GRAMADO DOS LOUREIROS;1;
202411;RS;432026;SEGREDO;1;
202402;RS;430495;CASEIROS;2;
202405;RS;430830;FONTOURA XAVIER;2;
202405;RS;431971;SÃO VALENTIM DO SUL;1;
202408;RS;431937;SÃO PEDRO DO BUTIÁ;1;
202401;RS;430055;ALTO ALEGRE;1;
202401;RS;432290;VIADUTOS;1;
202411;RS;431164;LINHA NOVA;1;
202411;RS;430410;CAMPOS BORGES;2;
202411;RS;431540;REDENTORA;1;
202412;RS;432340;VILA MARIA;1;
202404;RS;430692;ENGENHO VELHO;1;
202405;RS;431235;MONTAURI;1;
202403;RS;431242;MORMAÇO;1;
202404;RS;430550;CIRÍACO;1;
202404;RS;431849;SÃO JOSÉ DO INHACORÁ;1;
202404;RS;430705;ERNESTINA;1;
202406;RS;430057;ALTO FELIZ;2;
202404;RS;431300;NOVA BRÉSCIA;3;
202411;RS;431849;SÃO JOSÉ DO INHACORÁ;1;
202412;RS;431454;PINTO BANDEIRA;1;
202412;RS;431507;PORTO VERA CRUZ;1;
202404;RS;431795;SANTO EXPEDITO DO SUL;1;
202403;RS;431142;LAJEADO DO BUGRE;2;
202401;RS;430620;CRUZEIRO DO SUL;2;
202406;RS;431260;MUÇUM;1;
202405;RS;431190;MARCELINO RAMOS;1;
202407;RS;430511;CENTENÁRIO;1;
202410;RS;430670;DONA FRANCISCA;1;
202409;RS;432330;VILA FLORES;2;
202409;RS;431643;SALDANHA MARINHO;1;
202404;RS;430885;GENTIL;1;
202404;RS;431912;SÃO MARTINHO DA SERRA;1;
202402;RS;432055;SERTÃO SANTANA;1;
202402;RS;430840;FORMIGUEIRO;1;
202406;RS;430237;BOM PROGRESSO;1;
202406;RS;431673;SANTA CECÍLIA DO SUL;1;
202406;RS;432163;TRÊS ARROIOS;1;
202406;RS;431971;SÃO VALENTIM DO SUL;1;
202410;RS;431820;SÃO FRANCISCO DE PAULA;36;
202410;RS;431650;SALVADOR DO SUL;7;
202410;RS;430965;HULHA NEGRA;9;
202410;RS;431450;PINHEIRO MACHADO;15;
202407;RS;430850;FREDERICO WESTPHALEN;28;
202410;RS;431395;PANTANO GRANDE;8;
202407;RS;431760;SANTO ANTÔNIO DA PATRULHA;53;
202410;RS;431770;SANTO ANTÔNIO DAS MISSÕES;5;
202410;RS;431370;PALMEIRA DAS MISSÕES;41;
202410;RS;431695;SANTA MARIA DO HERVAL;4;
202410;RS;430435;CANDIOTA;11;
202407;RS;431870;SÃO LEOPOLDO;141;
202410;RS;431830;SÃO GABRIEL;68;
202410;RS;431447;PINHAL GRANDE;1;
202410;RS;431261;MUITOS CAPÕES;5;
202410;RS;432150;TORRES;34;
202410;RS;430420;CANDELÁRIA;41;
202410;RS;431510;PORTO XAVIER;7;
202410;RS;432090;TAPEJARA;26;
202408;RS;430460;CANOAS;167;
202408;RS;430120;ARROIO DO TIGRE;7;
202408;RS;430870;GAURAMA;3;
202408;RS;430845;FORTALEZA DOS VALOS;7;
202408;RS;432090;TAPEJARA;20;
202408;RS;430975;IBARAMA;4;
202408;RS;431990;SAPIRANGA;76;
202408;RS;431405;PAROBÉ;38;
202408;RS;430250;BOSSOROCA;11;
202407;RS;431850;SÃO JOSÉ DO NORTE;14;
202408;RS;431395;PANTANO GRANDE;9;
202408;RS;430100;ARROIO DO MEIO;12;
202408;RS;430466;CAPÃO DO LEÃO;17;
202408;RS;432235;UNIÃO DA SERRA;1;
202408;RS;432190;TRÊS PASSOS;17;
202408;RS;431020;IJUÍ;67;
202408;RS;431330;NOVA PRATA;16;
202408;RS;430510;CAXIAS DO SUL;183;
202408;RS;430957;HERVEIRAS;6;
202408;RS;430087;ARARICÁ;9;
202408;RS;430570;CONDOR;11;
202408;RS;431915;SÃO MIGUEL DAS MISSÕES;4;
202408;RS;431805;SÃO DOMINGOS DO SUL;1;
202408;RS;432330;VILA FLORES;1;
202401;RS;431740;SANTIAGO;21;
202401;RS;430517;CERRO GRANDE DO SUL;9;
202401;RS;430040;ALEGRETE;58;
202401;RS;432080;SOLEDADE;36;
202401;RS;431478;PONTE PRETA;2;
202401;RS;431420;PEDRO OSÓRIO;10;
202401;RS;430600;CRISSIUMAL;11;
202401;RS;431695;SANTA MARIA DO HERVAL;5;
202401;RS;430965;HULHA NEGRA;7;
202401;RS;432150;TORRES;40;
202401;RS;432240;URUGUAIANA;96;
202401;RS;430047;ALMIRANTE TAMANDARÉ DO SUL;4;
202401;RS;430770;ESTEIO;56;
202401;RS;431477;PONTÃO;8;
202401;RS;431180;MARAU;33;
202401;RS;431330;NOVA PRATA;20;
202401;RS;432230;TUPARENDI;6;
202401;RS;432120;TAQUARA;47;
202401;RS;431640;ROSÁRIO DO SUL;36;
202402;RS;430047;ALMIRANTE TAMANDARÉ DO SUL;2;
202402;RS;431245;MORRO REDONDO;7;
202402;RS;430905;GLORINHA;8;
202402;RS;430940;GUAPORÉ;16;
202402;RS;430471;CARAÁ;4;
202402;RS;430700;ERECHIM;59;
202402;RS;432067;SINIMBU;11;
202402;RS;431842;SÃO JOÃO DA URTIGA;3;
202402;RS;430530;CHAPADA;10;
202402;RS;431290;NOVA BASSANO;6;
202402;RS;432070;SOBRADINHO;21;
202402;RS;432300;VIAMÃO;77;
202402;RS;430165;BARÃO;2;
202402;RS;430310;CACHOEIRINHA;54;
202402;RS;431850;SÃO JOSÉ DO NORTE;12;
202401;RS;431050;IRAÍ;9;
202401;RS;431125;LAGOÃO;6;
202401;RS;432100;TAPERA;9;
202401;RS;430100;ARROIO DO MEIO;19;
202401;RS;431235;MONTAURI;2;
202401;RS;432170;TRÊS COROAS;20;
202402;RS;430240;BOM RETIRO DO SUL;9;
202402;RS;430850;FREDERICO WESTPHALEN;22;
202402;RS;430810;FELIZ;9;
202402;RS;431123;LAGOA BONITA DO SUL;2;
202402;RS;431710;SANT'ANA DO LIVRAMENTO;52;
202402;RS;430692;ENGENHO VELHO;1;
202402;RS;431280;NOVA ARAÇÁ;6;
202402;RS;431820;SÃO FRANCISCO DE PAULA;14;
202402;RS;431454;PINTO BANDEIRA;1;
202412;RS;431990;SAPIRANGA;54;
202409;RS;431120;JÚLIO DE CASTILHOS;18;
202409;RS;431720;SANTA ROSA;57;
202409;RS;431350;OSÓRIO;30;
202408;RS;432026;SEGREDO;4;
202408;RS;432350;VISTA ALEGRE;2;
202404;RS;430440;CANELA;45;
202408;RS;430760;ESTÂNCIA VELHA;35;
202404;RS;431033;IMBÉ;18;
202408;RS;430480;CARLOS BARBOSA;17;
202408;RS;431675;SANTA CLARA DO SUL;6;
202408;RS;430720;ERVAL GRANDE;5;
202408;RS;430187;BARRA DO QUARAÍ;6;
202408;RS;430468;CAPELA DE SANTANA;19;
202408;RS;430605;CRISTAL;9;
202405;RS;431690;SANTA MARIA;137;
202404;RS;430610;CRUZ ALTA;46;
202407;RS;432280;VERANÓPOLIS;13;
202407;RS;431675;SANTA CLARA DO SUL;8;
202407;RS;431265;NÃO-ME-TOQUE;17;
202407;RS;430040;ALEGRETE;42;
202407;RS;430905;GLORINHA;6;
202407;RS;430920;GRAVATAÍ;174;
202407;RS;431530;QUARAÍ;20;
202407;RS;431310;NOVA PALMA;2;
202407;RS;432200;TRIUNFO;25;
202407;RS;431162;LINDOLFO COLLOR;4;
202407;RS;431390;PANAMBI;35;
202407;RS;430130;ARROIO GRANDE;29;
202407;RS;432300;VIAMÃO;190;
202407;RS;430910;GRAMADO;33;
202407;RS;430047;ALMIRANTE TAMANDARÉ DO SUL;4;
202407;RS;431230;MIRAGUAÍ;3;
202407;RS;432253;VALE DO SOL;7;
202407;RS;432260;VENÂNCIO AIRES;31;
202407;RS;430195;BARRA FUNDA;1;
202407;RS;431060;ITAQUI;23;
202407;RS;430260;BRAGA;5;
202407;RS;430340;CAIÇARA;5;
202406;RS;431830;SÃO GABRIEL;48;
202407;RS;430030;ALECRIM;5;
202409;RS;431515;PROGRESSO;3;
202409;RS;432080;SOLEDADE;24;
202409;RS;431390;PANAMBI;19;
202409;RS;430825;FLORIANO PEIXOTO;2;
202409;RS;431100;JAGUARÃO;16;
202409;RS;431449;PINHEIRINHO DO VALE;8;
202409;RS;431060;ITAQUI;28;
202409;RS;430545;CIDREIRA;15;
202412;RS;430490;CASCA;4;
202409;RS;430030;ALECRIM;5;
202409;RS;431845;SÃO JOSÉ DAS MISSÕES;5;
202409;RS;430655;DOM PEDRO DE ALCÂNTARA;1;
202412;RS;431750;SANTO ÂNGELO;56;
202412;RS;430350;CAMAQUÃ;35;
202412;RS;431760;SANTO ANTÔNIO DA PATRULHA;36;
202412;RS;431560;RIO GRANDE;126;
202412;RS;431033;IMBÉ;14;
202412;RS;430080;ANTÔNIO PRADO;6;
202412;RS;431303;NOVA ESPERANÇA DO SUL;3;
202412;RS;430300;CACHOEIRA DO SUL;57;
202412;RS;431900;SÃO MARCOS;12;
202412;RS;432220;TUPANCIRETÃ;11;
202412;RS;431405;PAROBÉ;36;
202412;RS;431790;SANTO CRISTO;9;
202412;RS;431830;SÃO GABRIEL;49;
202412;RS;431805;SÃO DOMINGOS DO SUL;5;
202405;RS;430210;BENTO GONÇALVES;98;
202405;RS;430820;FLORES DA CUNHA;12;
202405;RS;430160;BAGÉ;73;
202405;RS;431830;SÃO GABRIEL;46;
202405;RS;430060;ALVORADA;86;
202405;RS;431240;MONTENEGRO;34;
202405;RS;431480;PORTÃO;32;
202405;RS;430466;CAPÃO DO LEÃO;15;
202405;RS;432232;TURUÇU;2;
202405;RS;430030;ALECRIM;6;
202404;RS;430607;CRISTAL DO SUL;4;
202405;RS;431040;INDEPENDÊNCIA;4;
202405;RS;431540;REDENTORA;4;
202404;RS;430810;FELIZ;4;
202404;RS;432260;VENÂNCIO AIRES;42;
202404;RS;430520;CERRO LARGO;14;
202404;RS;431780;SANTO AUGUSTO;8;
202404;RS;432310;VICENTE DUTRA;8;
202404;RS;431670;SANTA BÁRBARA DO SUL;4;
202404;RS;432070;SOBRADINHO;8;
202404;RS;431610;RONDA ALTA;7;
202404;RS;430350;CAMAQUÃ;64;
202404;RS;431190;MARCELINO RAMOS;2;
202404;RS;430850;FREDERICO WESTPHALEN;23;
202404;RS;432230;TUPARENDI;4;
202404;RS;431770;SANTO ANTÔNIO DAS MISSÕES;7;
202404;RS;430830;FONTOURA XAVIER;9;
202404;RS;431710;SANT'ANA DO LIVRAMENTO;52;
202404;RS;431960;SÃO SEPÉ;13;
202410;RS;430676;ELDORADO DO SUL;55;
202410;RS;431950;SÃO SEBASTIÃO DO CAÍ;22;
202410;RS;430440;CANELA;61;
202411;RS;431120;JÚLIO DE CASTILHOS;11;
202410;RS;432232;TURUÇU;5;
202410;RS;431110;JAGUARI;16;
202410;RS;431080;IVOTI;22;
202410;RS;431240;MONTENEGRO;82;
202411;RS;431337;NOVA SANTA RITA;28;
202411;RS;430920;GRAVATAÍ;160;
202408;RS;431265;NÃO-ME-TOQUE;8;
202410;RS;431245;MORRO REDONDO;4;
202410;RS;432180;TRÊS DE MAIO;22;
202410;RS;430380;CAMPINAS DO SUL;8;
202410;RS;431060;ITAQUI;27;
202410;RS;430465;CAPÃO DO CIPÓ;3;
202410;RS;430235;BOM PRINCÍPIO;11;
202410;RS;431213;MATO CASTELHANO;2;
202410;RS;430430;CÂNDIDO GODÓI;2;
202409;RS;430230;BOM JESUS;11;
202412;RS;431697;SANTA MARGARIDA DO SUL;4;
202410;RS;430675;DOUTOR RICARDO;1;
202407;RS;431320;NOVA PETRÓPOLIS;22;
202407;RS;430810;FELIZ;6;
202407;RS;430820;FLORES DA CUNHA;21;
202407;RS;430590;CORONEL BICACO;6;
202407;RS;431610;RONDA ALTA;4;
202407;RS;431040;INDEPENDÊNCIA;5;
202407;RS;431514;PRESIDENTE LUCENA;3;
202408;RS;431190;MARCELINO RAMOS;6;
202404;RS;430280;CAÇAPAVA DO SUL;18;
202408;RS;431260;MUÇUM;1;
202408;RS;432010;SARANDI;26;
202408;RS;430495;CASEIROS;3;
202408;RS;430540;CHIAPETTA;5;
202406;RS;431890;SÃO LUIZ GONZAGA;22;
202408;RS;430003;ACEGUÁ;5;
202404;RS;431570;RIO PARDO;28;
202408;RS;431160;LIBERATO SALZANO;5;
202408;RS;432135;TAVARES;7;
202408;RS;431036;IMIGRANTE;2;
202404;RS;431580;ROCA SALES;9;
202404;RS;430064;AMETISTA DO SUL;6;
202404;RS;431365;PALMARES DO SUL;7;
202404;RS;432150;TORRES;39;
202404;RS;430230;BOM JESUS;11;
202404;RS;432166;TRÊS CACHOEIRAS;9;
202404;RS;430435;CANDIOTA;9;
202404;RS;430660;DOM PEDRITO;21;
202401;RS;432140;TENENTE PORTELA;10;
202401;RS;431112;JAQUIRANA;5;
202401;RS;432220;TUPANCIRETÃ;15;
202401;RS;430130;ARROIO GRANDE;14;
202401;RS;431647;SALVADOR DAS MISSÕES;5;
202404;RS;430500;CATUÍPE;4;
202404;RS;431545;RELVADO;2;
202404;RS;431475;POÇO DAS ANTAS;1;
202404;RS;431173;MAMPITUBA;3;
202404;RS;431115;JÓIA;5;
202404;RS;432020;SEBERI;17;
202401;RS;431177;MAQUINÉ;9;
202401;RS;430990;IBIRAIARAS;4;
202401;RS;431171;MAÇAMBARÁ;6;
202403;RS;431550;RESTINGA SECA;15;
202403;RS;431280;NOVA ARAÇÁ;5;
202403;RS;431642;SAGRADA FAMÍLIA;3;
202403;RS;432090;TAPEJARA;23;
202403;RS;431265;NÃO-ME-TOQUE;15;
202403;RS;430850;FREDERICO WESTPHALEN;26;
202403;RS;430200;BARROS CASSAL;15;
202403;RS;430225;BOA VISTA DO SUL;2;
202403;RS;430140;ARVOREZINHA;5;
202403;RS;432166;TRÊS CACHOEIRAS;4;
202403;RS;431820;SÃO FRANCISCO DE PAULA;15;
202403;RS;430430;CÂNDIDO GODÓI;2;
202408;RS;431280;NOVA ARAÇÁ;7;
202408;RS;431446;PINHAL DA SERRA;4;
202408;RS;431365;PALMARES DO SUL;6;
202408;RS;431310;NOVA PALMA;2;
202408;RS;430590;CORONEL BICACO;5;
202408;RS;431242;MORMAÇO;2;
202408;RS;431303;NOVA ESPERANÇA DO SUL;3;
202405;RS;431755;SANTO ANTÔNIO DO PALMA;1;
202405;RS;430220;BOA VISTA DO BURICÁ;8;
202405;RS;430320;CACIQUE DOBLE;3;
202403;RS;431510;PORTO XAVIER;5;
202407;RS;430870;GAURAMA;4;
202407;RS;431275;NOVA ALVORADA;1;
202403;RS;431940;SÃO PEDRO DO SUL;9;
202407;RS;431198;MARIANA PIMENTEL;6;
202410;RS;432146;TIO HUGO;1;
202410;RS;431339;NOVO CABRAIS;2;
202410;RS;430200;BARROS CASSAL;10;
202410;RS;431477;PONTÃO;8;
202410;RS;431225;MINAS DO LEÃO;8;
202410;RS;431065;ITATI;4;
202410;RS;430340;CAIÇARA;5;
202406;RS;432240;URUGUAIANA;86;
202406;RS;430210;BENTO GONÇALVES;85;
202410;RS;431670;SANTA BÁRBARA DO SUL;7;
202410;RS;430860;GARIBALDI;8;
202409;RS;431820;SÃO FRANCISCO DE PAULA;25;
202409;RS;431340;NOVO HAMBURGO;92;
202409;RS;430820;FLORES DA CUNHA;19;
202409;RS;430100;ARROIO DO MEIO;14;
202409;RS;431590;RODEIO BONITO;9;
202409;RS;430660;DOM PEDRITO;20;
202409;RS;431130;LAGOA VERMELHA;13;
202409;RS;432220;TUPANCIRETÃ;8;
202409;RS;430910;GRAMADO;25;
202409;RS;430613;CRUZALTENSE;2;
202409;RS;431862;SÃO JOSÉ DOS AUSENTES;6;
202409;RS;430064;AMETISTA DO SUL;8;
202409;RS;431460;PIRATINI;4;
202404;RS;432234;UBIRETAMA;2;
202404;RS;430570;CONDOR;9;
202404;RS;430063;AMARAL FERRADOR;4;
202403;RS;430595;COTIPORÃ;5;
202403;RS;430910;GRAMADO;17;
202403;RS;431000;IBIRUBÁ;13;
202403;RS;430600;CRISSIUMAL;13;
202403;RS;431861;SÃO JOSÉ DO SUL;1;
202403;RS;430222;BOA VISTA DO CADEADO;1;
202401;RS;431250;MOSTARDAS;6;
202401;RS;430240;BOM RETIRO DO SUL;10;
202401;RS;430670;DONA FRANCISCA;2;
202401;RS;430680;ENCANTADO;10;
202401;RS;430465;CAPÃO DO CIPÓ;3;
202401;RS;431242;MORMAÇO;1;
202401;RS;430265;BROCHIER;2;
202403;RS;431555;RIO DOS ÍNDIOS;2;
202403;RS;432130;TAQUARI;18;
202404;RS;431430;PEJUÇARA;5;
202403;RS;431177;MAQUINÉ;3;
202412;RS;430585;COQUEIROS DO SUL;3;
202406;RS;432120;TAQUARA;45;
202406;RS;431370;PALMEIRA DAS MISSÕES;29;
202406;RS;432080;SOLEDADE;28;
202406;RS;432020;SEBERI;12;
202406;RS;430820;FLORES DA CUNHA;24;
202406;RS;430850;FREDERICO WESTPHALEN;23;
202406;RS;430410;CAMPOS BORGES;8;
202406;RS;430512;CERRITO;5;
202406;RS;431380;PALMITINHO;7;
202406;RS;432030;SELBACH;3;
202406;RS;431247;MORRO REUTER;1;
202406;RS;430550;CIRÍACO;5;
202405;RS;432185;TRÊS PALMEIRAS;6;
202405;RS;430471;CARAÁ;3;
202405;RS;431810;SÃO FRANCISCO DE ASSIS;10;
202405;RS;431142;LAJEADO DO BUGRE;3;
202405;RS;431430;PEJUÇARA;3;
202407;RS;430825;FLORIANO PEIXOTO;1;
202407;RS;430107;ARROIO DO PADRE;1;
202412;RS;431460;PIRATINI;8;
202407;RS;431050;IRAÍ;5;
202407;RS;432143;TERRA DE AREIA;6;
202410;RS;431237;MONTE ALEGRE DOS CAMPOS;1;
202410;RS;432149;TOROPI;4;
202410;RS;432230;TUPARENDI;4;
202410;RS;430630;DAVID CANABARRO;4;
202410;RS;431935;SÃO PEDRO DA SERRA;2;
202410;RS;430613;CRUZALTENSE;1;
202410;RS;430063;AMARAL FERRADOR;3;
202410;RS;432085;TABAÍ;8;
202405;RS;431937;SÃO PEDRO DO BUTIÁ;2;
202409;RS;430435;CANDIOTA;8;
202409;RS;431920;SÃO NICOLAU;2;
202409;RS;431755;SANTO ANTÔNIO DO PALMA;2;
202409;RS;432100;TAPERA;4;
202410;RS;432135;TAVARES;6;
202409;RS;432285;VESPASIANO CORREA;3;
202409;RS;431333;NOVA RAMADA;2;
202409;RS;430110;ARROIO DOS RATOS;8;
202401;RS;430260;BRAGA;3;
202409;RS;431840;SÃO JERÔNIMO;11;
202410;RS;430957;HERVEIRAS;2;
202404;RS;430090;ARATIBA;1;
202404;RS;430265;BROCHIER;2;
202404;RS;431449;PINHEIRINHO DO VALE;3;
202404;RS;430900;GIRUÁ;8;
202405;RS;431123;LAGOA BONITA DO SUL;2;
202405;RS;430240;BOM RETIRO DO SUL;4;
202405;RS;431220;MAXIMILIANO DE ALMEIDA;4;
202405;RS;431910;SÃO MARTINHO;5;
202401;RS;430900;GIRUÁ;13;
202401;RS;430915;GRAMADO XAVIER;7;
202411;RS;432010;SARANDI;16;
202411;RS;430870;GAURAMA;3;
202411;RS;430450;CANGUÇU;29;
202411;RS;431349;NOVO BARREIRO;4;
202411;RS;431935;SÃO PEDRO DA SERRA;3;
202409;RS;431198;MARIANA PIMENTEL;4;
202409;RS;430066;ANDRÉ DA ROCHA;1;
202409;RS;430370;CAMPINA DAS MISSÕES;5;
202409;RS;430215;BOA VISTA DAS MISSÕES;4;
202409;RS;430915;GRAMADO XAVIER;3;
202406;RS;430545;CIDREIRA;15;
202406;RS;431402;PARAÍSO DO SUL;3;
202406;RS;430843;FORQUETINHA;3;
202406;RS;431040;INDEPENDÊNCIA;9;
202406;RS;431349;NOVO BARREIRO;5;
202406;RS;432166;TRÊS CACHOEIRAS;6;
202402;RS;431175;MANOEL VIANA;2;
202402;RS;430870;GAURAMA;2;
202406;RS;430517;CERRO GRANDE DO SUL;7;
202406;RS;431300;NOVA BRÉSCIA;2;
202406;RS;430710;HERVAL;3;
202406;RS;431478;PONTE PRETA;1;
202406;RS;430163;BALNEÁRIO PINHAL;2;
202406;RS;430235;BOM PRINCÍPIO;10;
202406;RS;430187;BARRA DO QUARAÍ;7;
202406;RS;430250;BOSSOROCA;4;
202406;RS;432067;SINIMBU;2;
202409;RS;431270;NONOAI;16;
202410;RS;430469;CAPITÃO;1;
202409;RS;431535;QUINZE DE NOVEMBRO;3;
202401;RS;432067;SINIMBU;8;
202401;RS;432232;TURUÇU;5;
202401;RS;430195;BARRA FUNDA;4;
202406;RS;431517;PROTÁSIO ALVES;3;
202406;RS;430485;CARLOS GOMES;1;
202406;RS;431645;SALTO DO JACUÍ;10;
202406;RS;432060;SEVERIANO DE ALMEIDA;1;
202406;RS;431446;PINHAL DA SERRA;5;
202406;RS;430720;ERVAL GRANDE;4;
202407;RS;431912;SÃO MARTINHO DA SERRA;2;
202401;RS;431971;SÃO VALENTIM DO SUL;1;
202409;RS;432215;TUNAS;7;
202409;RS;432375;VITÓRIA DAS MISSÕES;2;
202401;RS;431046;IPIRANGA DO SUL;1;
202404;RS;431247;MORRO REUTER;4;
202404;RS;432035;SENTINELA DO SUL;4;
202402;RS;431860;SÃO JOSÉ DO OURO;6;
202402;RS;431270;NONOAI;12;
202402;RS;430215;BOA VISTA DAS MISSÕES;1;
202402;RS;432232;TURUÇU;3;
202402;RS;431545;RELVADO;1;
202405;RS;430800;FAXINAL DO SOTURNO;4;
202409;RS;430605;CRISTAL;2;
202404;RS;430290;CACEQUI;3;
202404;RS;431349;NOVO BARREIRO;3;
202403;RS;430223;BOA VISTA DO INCRA;4;
202403;RS;430540;CHIAPETTA;5;
202403;RS;431973;SÃO VALÉRIO DO SUL;4;
202404;RS;431505;PORTO MAUÁ;1;
202403;RS;430830;FONTOURA XAVIER;3;
202405;RS;431675;SANTA CLARA DO SUL;7;
202405;RS;431301;NOVA CANDELÁRIA;2;
202405;RS;430435;CANDIOTA;9;
202401;RS;430642;DOIS IRMÃOS DAS MISSÕES;1;
202401;RS;431247;MORRO REUTER;5;
202404;RS;430720;ERVAL GRANDE;6;
202402;RS;431198;MARIANA PIMENTEL;1;
202402;RS;430380;CAMPINAS DO SUL;3;
202402;RS;430865;GARRUCHOS;2;
202402;RS;430915;GRAMADO XAVIER;5;
202401;RS;431935;SÃO PEDRO DA SERRA;2;
202405;RS;431845;SÃO JOSÉ DAS MISSÕES;1;
202405;RS;430215;BOA VISTA DAS MISSÕES;2;
202405;RS;430066;ANDRÉ DA ROCHA;1;
202405;RS;431400;PARAÍ;2;
202405;RS;431036;IMIGRANTE;1;
202403;RS;431040;INDEPENDÊNCIA;4;
202403;RS;430530;CHAPADA;3;
202411;RS;431697;SANTA MARGARIDA DO SUL;2;
202411;RS;432060;SEVERIANO DE ALMEIDA;1;
202407;RS;430500;CATUÍPE;7;
202408;RS;431085;JABOTICABA;6;
202412;RS;430600;CRISSIUMAL;7;
202412;RS;431960;SÃO SEPÉ;20;
202412;RS;432026;SEGREDO;1;
202411;RS;430430;CÂNDIDO GODÓI;3;
202411;RS;431730;SANTA VITÓRIA DO PALMAR;18;
202403;RS;430740;ESMERALDA;1;
202403;RS;431844;SÃO JORGE;1;
202412;RS;430580;CONSTANTINA;7;
202412;RS;430750;ESPUMOSO;8;
202409;RS;431700;SANTANA DA BOA VISTA;4;
202409;RS;430632;DERRUBADAS;4;
202409;RS;430200;BARROS CASSAL;4;
202407;RS;430513;CERRO BRANCO;2;
202406;RS;432070;SOBRADINHO;9;
202410;RS;432045;SÉRIO;1;
202410;RS;431643;SALDANHA MARINHO;1;
202411;RS;432110;TAPES;7;
202411;RS;430820;FLORES DA CUNHA;12;
202411;RS;431510;PORTO XAVIER;3;
202411;RS;431446;PINHAL DA SERRA;3;
202412;RS;431242;MORMAÇO;2;
202412;RS;431970;SÃO VALENTIM;4;
202411;RS;430140;ARVOREZINHA;2;
202411;RS;431795;SANTO EXPEDITO DO SUL;2;
202411;RS;431780;SANTO AUGUSTO;9;
202412;RS;431160;LIBERATO SALZANO;5;
202412;RS;431630;ROQUE GONZALES;4;
202411;RS;430517;CERRO GRANDE DO SUL;3;
202412;RS;430220;BOA VISTA DO BURICÁ;5;
202411;RS;431150;LAVRAS DO SUL;1;
202411;RS;431530;QUARAÍ;18;
202412;RS;430587;CORONEL BARROS;3;
202412;RS;430950;GUARANI DAS MISSÕES;5;
202406;RS;430064;AMETISTA DO SUL;8;
202403;RS;431402;PARAÍSO DO SUL;4;
202403;RS;432135;TAVARES;3;
202403;RS;431407;PASSO DO SOBRADO;4;
